1,22.08,11.46,1,3,3,1.585,0,0,0.0,1,1,100.0,1213.0
0,22.67,7.0,1,7,3,0.165,0,0,0.0,0,1,160.0,1.0
0,29.58,1.75,0,3,3,1.25,0,0,0.0,1,1,280.0,1.0
0,21.67,11.5,0,4,2,0.0,1,1,11.0,1,1,0.0,1.0
1,20.17,8.17,1,5,3,1.96,1,1,14.0,0,1,60.0,159.0
0,15.83,0.585,1,7,7,1.5,1,1,2.0,0,1,100.0,1.0
1,17.42,6.5,1,2,3,0.125,0,0,0.0,0,1,60.0,101.0
0,58.67,4.46,1,10,7,3.04,1,1,6.0,0,1,43.0,561.0
1,27.83,1.0,0,1,7,3.0,0,0,0.0,0,1,176.0,538.0
0,55.75,7.08,1,3,7,6.75,1,1,3.0,1,1,100.0,51.0
1,33.5,1.75,1,13,7,4.5,1,1,4.0,1,1,253.0,858.0
1,41.42,5.0,1,10,7,5.0,1,1,6.0,1,1,470.0,1.0
1,20.67,1.25,0,7,7,1.375,1,1,3.0,1,1,140.0,211.0
1,34.92,5.0,1,13,7,7.5,1,1,6.0,1,1,0.0,1001.0
1,58.58,2.71,1,7,3,2.415,0,0,0.0,1,1,320.0,1.0
1,48.08,6.04,1,3,3,0.04,0,0,0.0,0,1,0.0,2691.0
1,29.58,4.5,1,8,3,7.5,1,1,2.0,1,1,330.0,1.0
0,18.92,9.0,1,5,3,0.75,1,1,2.0,0,1,88.0,592.0
1,20.0,1.25,0,3,3,0.125,0,0,0.0,0,1,140.0,5.0
0,22.42,5.665,1,10,3,2.585,1,1,7.0,0,1,129.0,3258.0
0,28.17,0.585,1,5,3,0.04,0,0,0.0,0,1,260.0,1005.0
0,19.17,0.585,0,5,3,0.585,1,0,0.0,1,1,160.0,1.0
1,41.17,1.335,1,1,3,0.165,0,0,0.0,0,1,168.0,1.0
1,41.58,1.75,1,3,3,0.21,1,0,0.0,0,1,160.0,1.0
1,19.5,9.585,1,5,3,0.79,0,0,0.0,0,1,80.0,351.0
1,32.75,1.5,1,12,7,5.5,1,1,3.0,1,1,0.0,1.0
