-1.891,0.988,-1.06,0.119,0.59,0.263,0.372,0.39,-0.376,-0.655
-2.711,0.971,-0.023,0.053,0.101,-0.148,0.382,0.476,-1.05
-3.917,1.925,0.267,1.361,0.453,-0.19,-0.242,-0.633,-0.62,1.039
-2.562,1.361,-0.94,1.333,-1.047,1.208,-0.316,1.055,0.354
-2.375,1.642,0.308,0.255,-0.82,0.225,-0.092,0.874,0.367,-0.525
-3.293,0.93,0.522,1.48,0.249,-0.661,-0.643,-0.094,-0.132,0.198
-2.378,1.568,-0.243,0.407,-0.428,0.229,-0.293,0.297,0.372,-0.512
-1.57,1.655,-1.04,1.16,-0.923,0.961,-0.231,0.955,-0.273,0.065
-3.82,1.705,-1.13,0.45,-0.471,0.665,0.298,-0.175,-0.473,0.848
-3.593,0.29,-0.782,1.707,-0.175,1.662,-0.137,0.493,-0.492,-0.926
-3.565,1.363,0.958,1.976,-1.268,0.091,-1.363,0.72,0.738,1.145
-4.2,2.201,-0.31,-0.392,0.968,0.7,-0.328,0.129,-0.896,0.15
-2.029,0.698,-1.482,0.813,-0.681,0.422,0.016,0.751,-0.3,-0.237
-2.434,2.903,-1.341,-0.411,0.372,0.843,-0.022,0.336,0.123,-0.747
-1.921,0.719,-0.95,0.299,0.222,0.786,0.128,0.588,-0.462,-0.491
-2.509,1.326,0.354,0.663,-0.724,0.418,-0.496,0.713,0.638,-0.204
-2.274,1.653,-0.226,1.857,-0.971,0.327,-0.605,1.121,0.121,0.291
-1.945,0.352,-1.053,-0.228,-0.12,0.927,0.088,0.509,-0.279,-0.246
-3.789,1.42,-0.372,0.568,0.123,0.185,0.078,1.006,-0.722
-3.176,2.997,-1.098,-0.371,-0.418,1.318,0.48,0.472,-0.814,0.106
-2.708,2.396,0.728,0.336,-1.437,-0.344,-0.411,1.469,-0.022,-0.717
-2.67,2.696,-0.231,-0.028,-1.014,0.486,-0.137,0.448,0.285,-0.482
-4.475,4.064,-0.927,-0.678,0.599,0.445,0.224,0.103,-1.336,-0.192
-3.341,1.714,-0.773,0.771,-0.976,0.625,0.078,-0.438,-0.084,0.607
-4.173,2.299,-0.298,-0.13,0.122,0.319,-0.388,-0.328,-0.48
-0.941,0.539,-2.02,0.314,-0.679,1.897,0.028,1.504,-0.632,0.111
-3.19,3.101,-1.659,-0.182,-0.436,0.828,0.272,0.502,-0.857,-0.516
-2.902,2.796,-1.199,0.234,-0.821,1.257,0.263,-0.075,-1.103,0.417
-1.768,0.786,-1.468,1.077,-0.347,1.704,-0.171,1.076,-0.691,-0.06
-4.076,3.336,-0.688,0.677,-1.472,0.461,0.682,0.724,0.717,-0.409
-1.093,-0.922,-2.091,0.844,0.009,1.247,0.891,1.453,-0.089,-0.4
-2.659,-0.101,-0.687,0.697,1.081,1.045,-0.149,0.184,-0.927,0.327
-1.674,1.711,-1.04,1.136,-0.869,1.036,-0.157,0.946,-0.361,0.02
-3.483,2.628,-0.383,0.838,0.2,0.102,-0.162,-0.547,-0.791
-2.704,1.285,-0.908,1.57,-0.84,1.044,-0.399,0.951,0.345
-4.064,4.106,-0.545,0.03,-1.645,0.904,0.103,0.907,0.05,-0.322
-3.747,4.267,-1.847,-0.235,0.38,0.885,-0.049,-0.258,-0.772,-0.11
-2.051,1.508,-1.641,-0.058,-0.102,0.346,-0.021,0.109,-0.147,-0.298
-4.494,1.535,-0.495,1.715,0.044,1.892,-0.367,0.362,-0.583,-0.291
-3.711,1.377,-0.584,1.428,-0.033,1.062,-0.127,0.328,-1.092,-0.565
-4.393,2.137,0.57,1.397,0.293,-0.836,-0.966,-0.461,-0.277,1.184
-4.013,2.101,0.295,1.292,0.45,-0.024,-0.565,-0.588,-0.343,0.695
-2.624,1.653,-0.156,2.023,-1.052,0.086,-0.752,1.341,0.196,0.71
-4.333,2.438,-0.219,1.372,-0.761,0.306,0.594,-0.022,1.103,0.19
-3.105,2.916,-0.207,0.031,-0.897,0.021,-0.229,0.256,1.073,-0.065
-4.474,4.569,-1.069,-1.409,0.137,1.049,0.071,0.877,-1.355,-0.167
-3.57,1.366,0.97,1.957,-1.262,0.002,-1.275,0.585,0.754,0.993
-2.784,1.43,0.145,0.309,-0.931,1.342,0.017,0.589,-0.044,-0.273
-2.105,1.035,-1.705,0.231,-0.558,1.554,-0.649,0.71,-0.855,-0.151
-2.907,1.992,-0.904,0.205,0.011,0.346,-0.031,-0.148,-1.262
-2.444,2.529,-0.487,-0.814,-0.151,1.285,0.077,-0.064,0.287,-0.638
-4.066,1.05,-0.049,0.458,-0.357,1.331,-0.129,0.848,0.509,0.317
-2.748,3.217,-0.976,-0.213,-0.792,0.771,-0.032,0.223,0.043,-0.825
-2.895,0.682,-0.151,0.218,-0.689,1.118,-0.264,0.922,0.757
-4.902,4.49,-0.564,-0.536,-0.164,-0.298,0.842,-0.158,-0.906,0.358
-1.948,1.536,-1.012,0.537,-1.229,0.183,0.46,-0.002,-0.178,-0.576
-2.69,1.652,-1.261,0.674,-0.964,1.449,-0.593,1.005,-0.303
-2.911,1.928,-1.131,0.899,-0.911,1.111,-0.208,-0.047,-0.029,-0.539
-2.64,1.322,-0.111,0.861,0.026,-0.354,-0.425,0.083,-0.235,0.781
-3.642,3.582,-1.031,-0.761,0.046,1.255,0.841,0.512,-0.259,-0.447
-3.455,2.561,-0.421,0.847,0.33,0.057,-0.177,-0.494,-0.786
-2.652,2.156,-0.053,1.694,-1.258,0.062,-0.61,1.397,0.133,0.602
-3.473,2.178,-0.82,0.706,-1.71,0.779,0.422,0.351,0.426,-0.267
-2.627,2.089,-1.434,0.937,-0.615,0.43,-0.311,-0.203,0.038,0.933
-3.52,3.318,-1.867,0.691,0.263,0.822,0.14,-0.62,-1.098,0.083
-2.758,2.067,-0.31,-0.543,-0.687,0.091,0.881,0.172,-0.454,-0.093
-4.074,2.281,0.152,1.556,-1.613,-0.047,0.222,0.252,0.775,0.125
-2.964,2.811,-1.317,0.324,-0.781,1.369,0.127,-0.368,-0.677,0.493
-2.611,0.434,0.231,1.343,0.323,-0.378,-0.618,-0.219,-0.285,0.347
-2.942,2.642,-1.217,0.384,-0.994,1.467,0.134,-0.458,-0.465,0.646
-3.594,-0.137,-0.028,1.018,1.069,0.723,0.695,-0.982,-1.433,0.249
-2.391,-0.347,-1.474,0.843,0.089,2.021,0.417,0.502,-0.86,-0.978
-2.484,0.559,0.624,1.951,-0.646,0.381,-1.106,0.036,0.24,1.291
-1.298,-0.295,-2.433,0.955,-0.278,2.252,0.285,0.915,-1.569,-0.562
-4.813,1.042,0.887,1.661,-0.534,0.747,-0.513,-0.448,-0.412,1.214
-3.783,1.974,-1.2,0.606,-0.65,1.504,-0.134,0.528,0.392,-0.58
-3.975,3.066,-0.506,-0.827,-0.478,0.434,0.356,0.939,-1.309,0.204
-3.002,2.944,-1.379,-0.188,-0.131,0.957,0.346,-0.392,-0.711,0.617
