0.63,0.65,0.48,0.5,0.66,0.67,0.71
0.59,0.56,0.48,0.5,0.55,0.8,0.82
0.71,0.57,0.48,0.5,0.48,0.35,0.32
0.44,0.35,0.48,0.5,0.55,0.55,0.61
0.67,0.81,0.48,0.5,0.54,0.49,0.23
0.78,0.33,0.48,0.5,0.57,0.77,0.79
0.68,0.78,0.48,0.5,0.43,0.44,0.42
0.66,0.74,0.48,0.5,0.31,0.38,0.43
0.3,0.51,0.48,0.5,0.42,0.61,0.34
0.63,0.83,0.48,0.5,0.4,0.39,0.19
0.61,0.52,0.48,0.5,0.54,0.67,0.52
0.07,0.4,0.48,0.5,0.54,0.35,0.44
0.34,0.28,0.48,0.5,0.41,0.35,0.44
0.76,0.41,0.48,0.5,0.5,0.59,0.62
0.67,0.81,0.48,0.5,0.25,0.42,0.25
0.86,0.55,0.48,0.5,0.63,0.81,0.83
0.71,0.46,1.0,0.5,0.52,0.59,0.3
0.48,0.49,0.48,0.5,0.52,0.77,0.71
0.74,0.82,0.48,0.5,0.49,0.49,0.41
0.57,0.38,0.48,0.5,0.06,0.49,0.33
0.44,0.56,0.48,0.5,0.5,0.46,0.54
0.65,0.55,0.48,0.5,0.34,0.37,0.28
0.3,0.37,0.48,0.5,0.43,0.18,0.3
0.21,0.34,0.48,0.5,0.51,0.28,0.39
0.67,0.39,0.48,0.5,0.36,0.38,0.46
0.28,0.38,0.48,0.5,0.5,0.33,0.42
0.12,0.67,0.48,0.5,0.74,0.58,0.63
0.61,0.36,0.48,0.5,0.49,0.35,0.44
0.64,0.45,0.48,0.5,0.67,0.61,0.66
0.21,0.51,0.48,0.5,0.5,0.32,0.41
0.23,0.4,0.48,0.5,0.39,0.28,0.38
0.31,0.36,0.48,0.5,0.58,0.94,0.94
0.71,0.4,0.48,0.5,0.71,0.7,0.74
0.36,0.56,0.48,0.5,0.43,0.45,0.53
0.22,0.34,0.48,0.5,0.42,0.29,0.39
0.71,0.52,0.48,0.5,0.64,1.0,0.99
0.47,0.29,0.48,0.5,0.51,0.33,0.43
0.42,0.3,0.48,0.5,0.48,0.26,0.36
